,Kelurahan,Kecamatan,Nama SMA,Alamat
0,"Pulau Panggang, Kepulauan Seribu Utara, Kepulauan Seribu",KEP. SERIBU UTARA,SMA NEGERI 69 JAKARTA Kepulauan Seribu,"Alamat: 7J27+X95, Pulau Panggang, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530 "
1,Pulau Tidung,KEP. SERIBU SELATAN,SMK NEGERI 61 Kepulauan Seribu,"Alamat: 5GX5+4Q8, Pulau Tidung, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520 "
2,Pulau Tidung,KEP. SERIBU SELATAN,ASRAMA SMKN 61 JAKARTA,"Alamat: JLN PANTAI SELATAN No.1, Pulau Tidung, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520 "
3,Gambir,GAMBIR,SMA Negeri 4 Jakarta,"Alamat: Jl. Batu III No.3, RT.7/RW.1, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110 "
4,Petojo Utara,GAMBIR,SMAN 25 Jakarta,"Alamat: Jalan A.M Sangaji No. 22-24 Petojo Utara Gambir RT.2/RW.5 2 5, RT.2/RW.5, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130 "
5,Petojo Utara,GAMBIR,SMK Rex Mundi,"Alamat: Jl. Alaydrus No.42, RT.3/RW.2, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130 "
6,Petojo Sel.,GAMBIR,SMK Jakarta Pusat 1,"Alamat: Jl. Abdul Muis No.44, RT.1/RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160 "
7,Kb. Klp.,GAMBIR,SMK Santa Maria,"Alamat: Jl. Ir. H. Juanda No.29, RT.7/RW.3, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120 "
8,Duri Pulo,GAMBIR,SMA PGRI 14 (ASET PEMDA DKI),"Alamat: Jl. Setia Kawan III No.41, RT.1/RW.7, Duri Pulo, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10140 "
9,Ps. Baru,SAWAH BESAR,Sekolah Menengah Atas Negeri 20 Jakarta Pusat,"Alamat: 4, Jl. Krekot III No.1, RT.1/RW.5, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710 "
10,Ps. Baru,SAWAH BESAR,SMAN 1 JAKARTA,"Alamat: Jl. Budi Utomo No.7, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710 "
11,Ps. Baru,SAWAH BESAR,Sekolah Menengah Atas Kristen Karunia,"Alamat: Jl. Kartini Raya No.10 A, RT.13/RW.5, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710 "
12,Ps. Baru,SAWAH BESAR,SMA Kristen 2 PENABUR Jakarta,"Alamat: Jl. Pintu Air Raya No.11, RT.8/RW.1, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710 "
13,Kartini,SAWAH BESAR,Sekolah Menengah Kejuruan KARTINI 1,"Alamat: Jl. Kartini Raya No.26, RT.14/RW.5, Kartini, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10750 "
14,Mangga Dua Sel.,SAWAH BESAR,SMA Negeri 10 Jakarta,"Alamat: Jl. Mangga Besar XIII No.1, RT.6/RW.1, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
15,Mangga Dua Sel.,SAWAH BESAR,SMAS Budi Mulia,"Alamat: Jl. Raya Mangga Besar No.135, RW.1, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
16,Kec. Kemayoran,KEMAYORAN,SMA Negeri 5 Jakarta,"Alamat: Jl. Sumur Batu Raya No.14, RW.1, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10660 "
17,Kec. Kemayoran,KEMAYORAN,Sekolah Menengah Pertama (SMP) Terbuka Kec Kemayoran,"Alamat: Jl. Dakota Raya RT.04 / RW.09, Kebon Kosong, Kemayoran, RT.4/RW.9, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630 "
18,Kec. Kemayoran,KEMAYORAN,Sekolah Menengah Atas Paskalis,"Alamat: Jl. Ranjau No.13, RT.13/RW.4, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
19,Kec. Kemayoran,KEMAYORAN,Sekolah Menengah Atas Kartini,"Alamat: Jl. Kalibaru Timur V No.1, RT.1/RW.9, Utan Panjang, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10460 "
20,Kec. Kemayoran,KEMAYORAN,SMA Muhammadiyah 2 Jakarta,"Alamat: 9, Jl. Garuda No.33, RT.9/RW.6, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
21,Kec. Kemayoran,KEMAYORAN,Sekolah Menengah Atas Kristen BPK Penabur 3,"Alamat: Jl. Gn. Sahari No.90A, RT.14/RW.8, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
22,Kec. Kemayoran,KEMAYORAN,SMA Tamansiswa,"Alamat: Jl. Garuda No.31, RT.7/RW.4, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
23,Kb. Kosong,KEMAYORAN,Sekolah Menengah Pertama (SMP) Terbuka Kec Kemayoran,"Alamat: Jl. Dakota Raya RT.04 / RW.09, Kebon Kosong, Kemayoran, RT.4/RW.9, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630 "
24,Kb. Kosong,KEMAYORAN,SMA Taman Siswa 1,"Alamat: 12, Jl. Gg. Mht No.26, RT.12/RW.7, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630 "
25,Serdang,KEMAYORAN,SMA Taman Madya 1,"Alamat: Jalan Sunter Bendungan Jago No.11, Kemayoran, RT.16/RW.2, Serdang, Jakarta Pusat, DKI Jakarta, Daerah Khusus Ibukota Jakarta 10650 "
26,Gn. Sahari Sel.,KEMAYORAN,Sekolah Menengah Atas Kristen BPK Penabur 3,"Alamat: Jl. Gn. Sahari No.90A, RT.14/RW.8, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
27,Gn. Sahari Sel.,KEMAYORAN,SMA Muhammadiyah 2 Jakarta,"Alamat: 9, Jl. Garuda No.33, RT.9/RW.6, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
28,Gn. Sahari Sel.,KEMAYORAN,SMA Tamansiswa,"Alamat: Jl. Garuda No.31, RT.7/RW.4, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
29,Gn. Sahari Sel.,KEMAYORAN,SMK Strada 1,"Alamat: Jl. Gn. Sahari No.88, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
30,Cemp. Baru,KEMAYORAN,SMP / SMA PERGURUAN NASIONAL 1,"Alamat: Jln. Cempaka Baru Timur I RT. 015 / 03 No. 1, Jl. Cempaka Baru Timur No.2C, RT.14/RW.3, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
31,Sumur Batu,KEMAYORAN,SMA Negeri 5 Jakarta,"Alamat: Jl. Sumur Batu Raya No.14, RW.1, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10660 "
32,Sumur Batu,KEMAYORAN,Sekolah Menengah Atas Paskalis,"Alamat: Jl. Ranjau No.13, RT.13/RW.4, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
33,Sumur Batu,KEMAYORAN,SMK Poncol,"Alamat: Jl. Mutiara Raya No.1, RT.14/RW.3, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
34,Utan Panjang,KEMAYORAN,Sekolah Menengah Atas Kartini,"Alamat: Jl. Kalibaru Timur V No.1, RT.1/RW.9, Utan Panjang, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10460 "
35,Senen,SENEN,SMA PSKD 3 Jakarta,"Alamat: Jl. Kwini I No.1, RT.5/RW.1, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410 "
36,Kenari,SENEN,SMA Negeri 68 Jakarta,"Alamat: Jl. Salemba Raya No.18, RT.3/RW.6, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430 "
37,Kenari,SENEN,Sekolah Menegah Atas (SMA) PSKD 1 Jakarta,"Alamat: Jl. Pangeran Diponegoro No.80, RT.2/RW.6, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430 "
38,Kenari,SENEN,SMK SINT JOSEPH,"Alamat: RR6R+XR2, Jl. Kramat Raya, RT.1/RW.9, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430 "
39,Paseban,SENEN,Sekolah Menengah Atas Advent Salemba,"Alamat: Jl. Salemba Bluntas No.77, RT.11/RW.5, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440 "
40,Paseban,SENEN,Sekolah Menengah Kejuruan Farmasi Tunas Bangsa,"Alamat: Jl. Salemba Tengah II No.1, RT.4/RW.8, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440 "
41,Paseban,SENEN,Sekolah Menengah Kejuruan Muhammadiah 10,"Alamat: Jl. Kramat Sawah No.254, RT.12/RW.7, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440 "
42,Kramat,SENEN,SMA Muhammadiyah 1 Jakarta,"Alamat: Jl. Kramat Raya No.49, RT.3/RW.4, Kramat, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450 "
43,Bungur,SENEN,SMA Muhammadiyah 16,"Alamat: Jl. Kalibaru Barat No.D 52, RT.2/RW.1, Bungur, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10460 "
44,Cemp. Putih Tim.,CEMPAKA PUTIH,SMA Negeri 30 Jakarta,"Alamat: Jl. Jenderal Ahmad Yani No.43A, RT.13/RW.2, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510 "
45,Cemp. Putih Tim.,CEMPAKA PUTIH,SMA Negeri 77 Jakarta,"Alamat: Jl. Cempaka Putih Tengah XVII No.1, RT.2/RW.8, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510 "
46,Cemp. Putih Bar.,CEMPAKA PUTIH,SMK CEMPAKA,"Alamat: Jl. Cempaka Putih Barat XXI No.3, RT.4/RW.8, Cemp. Putih Bar., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10520 "
47,Cemp. Putih Bar.,CEMPAKA PUTIH,SMK Tunas Harapan,"Alamat: Kompleks SetNeg RI, Jl. Cempaka Putih Barat XIV No.3, RW.12, Cemp. Putih Bar., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10520 "
48,Rawasari,CEMPAKA PUTIH,SMA Taman Madya 5 Jakarta,"Alamat: JL. Percetakan Negara 8, No. 16, Rawasari, 10570, RT.4/RW.3, Rawasari, Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570 "
49,Kec. Menteng,MENTENG,SMA Santa Theresia,"Alamat: Jl. H. Agus Salim No.75, RT.8/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350 "
50,Kec. Menteng,MENTENG,School,"Alamat: Jl. Lombok No.58, RT.4/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350 "
51,Kec. Menteng,MENTENG,SMA Sunda Kelapa,"Alamat: Jl. Taman Sunda Kelapa No.16A, RT.6/RW.4, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310 "
52,Kec. Menteng,MENTENG,SMA Dwisaka,"Alamat: QRVX+47F, RT.1/RW.6, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320 "
53,Pegangsaan,MENTENG,SMA Dwisaka,"Alamat: QRVX+47F, RT.1/RW.6, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320 "
54,Cikini,MENTENG,SMP Al - Ma'mur Jakarta Pusat,"Alamat: Jl. Raden Saleh Raya No.30, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330 "
55,Gondangdia,MENTENG,SMA Santa Theresia,"Alamat: Jl. H. Agus Salim No.75, RT.8/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350 "
56,Gondangdia,MENTENG,School,"Alamat: Jl. Lombok No.58, RT.4/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350 "
57,Bend. Hilir,TANAH ABANG,SMP Negeri 40 Jakarta,"Alamat: Jl. Danau Limboto No.4, RT.18/RW.4, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210 "
58,Bend. Hilir,TANAH ABANG,Sekolah Kesehatan TNI AL JAKARTA,"Alamat: Jl. Bend. Jatiluhur No.130, RT.4/RW.2, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210 "
59,Karet Tengsin,TANAH ABANG,SMA Negeri 35 Jakarta Pusat,"Alamat: Jl. Mutiara, RT.18/RW.5, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220 "
60,Karet Tengsin,TANAH ABANG,SMA NEGERI 7 Jakarta,"Alamat: QRQ7+PFH, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250 "
61,Karet Tengsin,TANAH ABANG,Tigmapala,"Alamat: 14, RW.5, Karet Tengsin, Tanah Abang, Central Jakarta City, Jakarta "
62,Petamburan,TANAH ABANG,Sekolah Menengah Atas Kristen Bethel,"Alamat: Jl. Petamburan IV No.4, RT.1/RW.4, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260 "
63,Kb. Melati,TANAH ABANG,Sekolah Agustinus dan Adisucipto,"Alamat: Jl. Kb. Melati 5 No.5, RW.8, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230 "
64,Kb. Kacang,TANAH ABANG,SMK Islam Said Na'um,"Alamat: Jl. K.H. Mas Mansyur No.25, RT.14/RW.5, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240 "
65,Johar Baru,JOHAR BARU,SMA NEGERI 27 Jakarta,"Alamat: Jl. Johar Baru IV No.1A, RT.2/RW.5, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560 "
66,Johar Baru,JOHAR BARU,Yayasan Pendidikan Cihanjuang SMK Kampung Jawa,"Alamat: Jl. Percetakan Negara II No.9, RT.11/RW.6, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560 "
67,Penjaringan,PENJARINGAN,Sekolah Menengah Atas Harapan Kasih,"Alamat: Jl. Muara Baru No.5, RT.5/RW.3, Penjaringan, North Jakarta City, Jakarta 14440 "
68,Penjaringan,PENJARINGAN,SMA NEGERI 111 Jakarta Utara,"Alamat: Jl. Bandengan Utara Raya No.80, RT.9/RW.16, Penjaringan, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440 "
69,Penjaringan,PENJARINGAN,SMK Pluit Raya,"Alamat: Jl. Jemb. 3 Raya No.1, RT.14/RW.8, Penjaringan, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440 "
70,Kapuk Muara,PENJARINGAN,Sma Bina Bangsa School Pantai Indah Kapuk,"Alamat: Jalan Pantai Indah Kapuk 8 Blok R8 No.1 2, RT.6/RW.2, Kapuk Muara, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14470 "
71,Kapuk Muara,PENJARINGAN,Sekolah Menengah Kejuruan Al-Muttaqin,"Alamat: Jl. Kapuk Muara Raya No.17, RT.10/RW.4, Kapuk Muara, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14460 "
72,Pejagalan,PENJARINGAN,Sekolah Menengah Atas Darma Satria,"Alamat: Komp, Teluk Indah Blok Q No. 2-4, RT.5/RW.9, Pejagalan, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450 "
73,Pejagalan,PENJARINGAN,Sekolah Budi Agung,"Alamat: Jalan Terusan Bandengan Utara. 95 Blok F.3-12, RT.8/RW.16, Pejagalan, Kec. Penjaringan, Daerah Khusus Ibukota Jakarta 14450 "
74,Pluit,PENJARINGAN,SMA Tarakanita 2,"Alamat: Jl. Pluit Permai Dalam 1 No.10, RT.15/RW.4, Pluit, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450 "
75,Pluit,PENJARINGAN,SMA Permai Jakarta,"Alamat: Jl. Pluit Karang Barat Blok O - VI No. 1 2 8, RT.2/RW.8, Pluit, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450 "
76,Pluit,PENJARINGAN,SMA SAINT NICHOLAS,"Alamat: VQMH+9H8, Jl Pluit Karang Ayu II Utara Pejagalan Penjaringan Jakarta Utara DKI Jakarta, RT.11/RW.3, Pluit, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450 "
77,Pluit,PENJARINGAN,Sekolah Menengah Atas Cahaya Kudus,"Alamat: Jl. Muara Karang Raya Blok B9 No.129-130-131, RT.1/RW.15, Pluit, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450 "
78,Sunter Jaya,TANJUNG PRIOK,Sekolah Menengah Atas Al-Islamiyah,"Alamat: Jl. Sunter Agung Utara D6 No.16, RT.5/RW.9, Sunter Jaya, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14360 "
79,Sunter Jaya,TANJUNG PRIOK,SMA Wijaya,"Alamat: Jalan Masjid Al-Barkah No.16, RT.5/RW.9, Sunter Jaya, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14360 "
80,Sunter Jaya,TANJUNG PRIOK,SMK Gita Kirtti 2 Jakarta,"Alamat: Jl. Sunter Jaya IV A No.2, RT.8/RW.3, Sunter Jaya, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350 "
81,Sungai Bambu,TANJUNG PRIOK,Sekolah Menengah Kejuruan Gunung Jati,"Alamat: Jl. Sungai Bambu 4 No.35, RT.6/RW.8, Sungai Bambu, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14330 "
82,Sungai Bambu,TANJUNG PRIOK,Sekolah Menengah Atas Gideon,"Alamat: Jl. Gadang No.77, RT.2/RW.4, Sungai Bambu, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14330 "
83,Sungai Bambu,TANJUNG PRIOK,Sekolah Menengah Kejuruan Kencana 1-Jakarta,"Alamat: SMK KENCANA 1, Jl. Sungai Bambu No.13A, RT.8/RW.5, Sungai Bambu, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14330 "
84,Kb. Bawang,TANJUNG PRIOK,Sekolah Menengah Atas Mutiara I,"Alamat: Jalan Komp.Yos Sudarso II No. 19, RT.01 / RW.16, Tanjung Priok, RT.10/RW.6, Kb. Bawang, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14310 "
85,Kb. Bawang,TANJUNG PRIOK,SMA Yappenda,"Alamat: Jl. Swasembada Timur 5 No.10, RT.6/RW.10, Kb. Bawang, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14320 "
86,Kb. Bawang,TANJUNG PRIOK,Sekolah Menengah Atas Dharma Putra Jakarta,"Alamat: Jl. Swasembada Barat XI No.92, RT.7/RW.13, Kb. Bawang, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14320 "
87,Kb. Bawang,TANJUNG PRIOK,SMK Negeri 12 Jakarta Utara,"Alamat: VVPP+38V, Jl. Kb. Bawang XV B, Kb. Bawang, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14320 "
88,Sunter Agung,TANJUNG PRIOK,SMA Negeri 80 Jakarta Utara,"Alamat: Jl. Sunter Karya Utara No.V, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350 "
89,Sunter Agung,TANJUNG PRIOK,SMAN 15 JAKARTA,"Alamat: 4, Jl. Sunter Agung Utara STS No.3, RT.4/RW.18, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350 "
90,Sunter Agung,TANJUNG PRIOK,SMA NEGERI 41 Jakarta Utara,"Alamat: Jl. Laks. Re. Martadinata No.41, RW.3, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350 "
91,Sunter Agung,TANJUNG PRIOK,SMKS Spes Patriae - Santo Lukas Sunter,"Alamat: Jalan Ancol Selatan II No.1 RW 6 RT 7, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350 "
92,Warakas,TANJUNG PRIOK,SMAN 18 Jakarta,"Alamat: VVHC+JQ5, RT.12/RW.14, Warakas, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14370 "
