,Kelurahan,Kecamatan,Nama SMA,Alamat
93,Warakas,TANJUNG PRIOK,Sekolah Menengah Kejuruan Sismadi,"Alamat: Jl. Warakas Raya No.17, RT.5/RW.7, Warakas, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14370 "
94,Tugu Utara,KOJA,Sekolah Menengah Atas Uswatun Hasanah,"Alamat: Jl. Mawar Luar No.1, RT.8/RW.11, Tugu Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260 "
95,Lagoa,KOJA,Sekolah Menengah Kejuruan Lagoa,"Alamat: Jl. Lagoa Gg. III No.1,3,5, RT.5/RW.4, Lagoa, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14270 "
96,Lagoa,KOJA,Sekolah Menengah Atas Al-Khairiyah Pagi,"Alamat: Jl. Mindi No.2, RT.14/RW.9, Lagoa, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14270 "
97,Lagoa,KOJA,SMA Tanjung Priok,"Alamat: Jl. Mangga No.40, RT.9/RW.9, Lagoa, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14270 "
98,Rawabadak Utara,KOJA,SMA NEGERI 13 JAKARTA UTARA,"Alamat: Jl. Seroja No.1, RT.7/RW.13, Rawabadak Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14230 "
99,Rawabadak Utara,KOJA,SMK Perguruan Cikini Jakarta Utara,"Alamat: Jalan Alur Laut Blok NN No. 1, RT.05 / RW.10, Rawabadak Utara, Koja, RT.5/RW.10, Rawabadak Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14230 "
100,Tugu Sel.,KOJA,SMA NEGERI 110 Jakarta Utara,"Alamat: Jl. Bendungan Melayu No.80, Tugu Sel., Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14140 "
101,Tugu Sel.,KOJA,Sekolah Menengah Ekonomi Atas Walang Jaya,"Alamat: Jl. STM Walang Jaya No.16, RT.8/RW.5, Tugu Sel., Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260 "
102,Tugu Sel.,KOJA,SMA Laphat Plus,"Alamat: Jalan Mahoni Utara No.54, Tugu Utara, Koja, RT.5/RW.3, Tugu Sel., Jakarta Utara, Jkt Utara, Daerah Khusus Ibukota Jakarta 14270 "
103,Rawabadak Sel.,KOJA,Sekolah Menengah Atas Al Muhajirin,"Alamat: Perumahan PT(Persero) Pelabuhan Indonesia II, Jl. Tunda No.20-21, RT.4/RW.7, Rawabadak Sel., Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14230 "
104,Cilincing,CILINCING,SMA Negeri 114 Jakarta Utara,"Alamat: Jl. Pedongkelan Raya No.26, RT.1/RW.3, Cilincing, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130 "
105,Sukapura,CILINCING,SMA Negeri 83 Jakarta,"Alamat: Jl. Tipar Cakung No.4, RW.4, Sukapura, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14140 "
106,Marunda,CILINCING,Sekolah Menengah Kejuruan PGRI 3,"Alamat: Jl. Marunda Baru III No.13, RT.13/RW.3, Marunda, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14150 "
107,Kali Baru,CILINCING,Sekolah Menengah Kejuruan Al - Miftahiyyah,"Alamat: Jl. Kalibaru Barat 7 Jalan Muara Gedung No.17, RT.1/RW.4, Kali Baru, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14110 "
108,Kali Baru,CILINCING,Raka saputra,"Alamat: Jl. Kali Baru Barat IIA No.4, RT.1/RW.8, Kali Baru, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14110 "
109,Semper Tim.,CILINCING,SMA NEGERI 73 Jakarta,"Alamat: Jl. Cakung Cilincing Raya No.1, RT.8/RW.1, Semper Tim., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130 "
110,Semper Tim.,CILINCING,Sekolah Menengah Pertama Kasih Immanuel,"Alamat: Jalan Swadaya I, blok B no 16, RT.2/RW.011, Semper Tim., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130 "
111,Semper Tim.,CILINCING,"SMA NURUL FALAH, JAKARTA UTARA","Alamat: Jl. Cunda Manik Jl. Dewa Kembar No.2, RT.3/RW.1, Semper Tim., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130 "
112,Rorotan,CILINCING,SMA Negeri 115 JAKARTA,"Alamat: Jl. Komp. Kantor k No.14, RW.6, Rorotan, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14140 "
113,Rorotan,CILINCING,Sekolah Menengah Umum Islam Madrasah Aliyah Al Wathoniyah 14 Jakarta,"Alamat: Kp. Kd Santri, Gg. 12 Madrasah Jl. Rorotan 2 No.1, RT.7/RW.4, Rorotan, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14140 "
114,Semper Bar.,CILINCING,SMA Negeri 92 JAKARTA,"Alamat: Jl. Komp. Pemadam Kebakaran No.17, RT.17/RW.1, Semper Bar., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130 "
115,Semper Bar.,CILINCING,SMA NEGERI 75 Jakarta Utara,"Alamat: Jl. Tipar Cakung No.4, RW.4, Semper Bar., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130 "
116,Semper Bar.,CILINCING,SMA Negeri 52 Jakarta Utara,"Alamat: Jl. Raya Tugu No.16, RT.1/RW.9, Semper Bar., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130 "
117,Semper Bar.,CILINCING,SMA Nusantara,"Alamat: Gang No.13, Clincing,, Jl. Kramat Jaya Raya No.8, RT.5/RW.7, Semper Bar., Jakarta Utara, DKI Jakarta, Daerah Khusus Ibukota Jakarta 14130 "
118,Pademangan Tim.,PADEMANGAN,Sekolah SMA Santa Maria Della Strada,"Alamat: Gg. 7 No.18, RT.8/RW.4, Pademangan Tim., Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14410 "
119,Pademangan Bar.,PADEMANGAN,SMA N 40 Jakarta,"Alamat: Jl. Budi Mulia No.8A, RT.8/RW.11, Pademangan Bar., Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14420 "
120,Pademangan Bar.,PADEMANGAN,Sekolah Menengah Kejuruan Fajar Indah,"Alamat: Jl. Waspada Raya 1 No.30, RT.7/RW.10, Pademangan Bar., Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14420 "
121,Klp. Gading Tim.,KELAPA GADING,SMA NEGERI 45 JAKARTA Utara,"Alamat: JL. PERINTIS KEMERDEKAAN, RT/RW 4/5 Dsn. -, Ds./Kel Kelapa Kec. Kelapa Gading Kota Jakarta Utara, RT.6/RW.6, Klp. Gading Tim., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240 "
122,Pegangsaan Dua,KELAPA GADING,Sekolah Menengah Atas Marie Joseph,"Alamat: Pondok gading Utama, Jl. Puspa Gading 6 Blok H2 No.10, RT.5/RW.2, Pegangsaan Dua, Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14250 "
123,Pegangsaan Dua,KELAPA GADING,SMA Don Bosco 1,"Alamat: 12, Jl. Boulevard Timur No.8, RT.12/RW.2, Pegangsaan Dua, Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14250 "
124,Pegangsaan Dua,KELAPA GADING,Sekolah Menengah Kejuruan (SMK) Pariwisata Kasih Ananda & Akademi Pariwisata Bhakti Nusantara,"Alamat: JL Pegangsaan II, Km. 5, Kelapa Gading, Jl. Pegangsaan Dua No.169, RT.7/RW.3, Pegangsaan Dua, Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14250 "
125,Klp. Gading Bar.,KELAPA GADING,SMA NEGERI 72 Jakarta Utara,"Alamat: Jl. Prihatin No.8, RW.2, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240 "
126,Klp. Gading Bar.,KELAPA GADING,SMAK 5 Penabur,"Alamat: Jalan Raya Kelapa Hybrida QG20, RT.12/RW.11, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240 "
127,Klp. Gading Bar.,KELAPA GADING,SPK Penabur Kelapa Gading,"Alamat: Jalan Boulevard Bukit Gading Raya Blok A5-A8 6, RT.6/RW.14, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240 "
128,Cengkareng Bar.,CENGKARENG,SMA Negeri 33 Jakarta,"Alamat: Jl. Kamal Raya No.54, RW.3, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730 "
129,Cengkareng Bar.,CENGKARENG,Sekolah Menengah Atas Al-HUDA,"Alamat: Jalan Utama Raya No.2, Cengkareng Barat, Cengkareng, RT.6/RW.3, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730 "
130,Cengkareng Bar.,CENGKARENG,Sekolah Menengah Atas St. Kristoforus II,"Alamat: Jl. Taman Palem Lestari Blok A-18, RT.12/RW.10, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730 "
131,Cengkareng Bar.,CENGKARENG,SMK Cengkareng 1 Jakarta,"Alamat: Jl. Bambu Larangan No.67, RW.5, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730 "
132,Duri Kosambi,CENGKARENG,Sekolah Menengah Atas Impian Bunda,"Alamat: Komplek Kosambi Baru, Timur, Jl. Flamboyan Utama III No.1A, RT.15/RW.10, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750 "
133,Duri Kosambi,CENGKARENG,Sekolah Menengah Atas Cahaya Fadilah,"Alamat: Jl. Raya Duri Kosambi No.7, RT.13/RW.7, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750 "
134,Duri Kosambi,CENGKARENG,SMA Kristen Kalam Kudus II,"Alamat: Jl. Angsana Utama II Blok F6 No.1, RT.3/RW.9, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750 "
135,Duri Kosambi,CENGKARENG,Madrasah Aliyah Al-Itqon,"Alamat: Jl. H. Selong No.14, RT.5/RW.3, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750 "
136,Rw. Buaya,CENGKARENG,Sekolah Menengah Kejuruan Lamaholot,"Alamat: Jl. Manggis Raya No.60A, RT.13/RW.8, Rw. Buaya, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740 "
137,Kapuk,CENGKARENG,Sekolah Menengah Atas Katolik Bintang Kejora,"Alamat: Jalan Taman Cengkareng Indah No.129, Kapuk, Cengkareng, RT.1/RW.14, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720 "
138,Kapuk,CENGKARENG,SMA Negeri 96 JAKARTA BARAT,"Alamat: Jl. Jati Raya No.40, RT.7/RW.12, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730 "
139,Kapuk,CENGKARENG,SMK Harapan Raya,"Alamat: Gg. Sinar No.5, RW.2, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720 "
140,Cengkareng Tim.,CENGKARENG,Sekolah Menengah Kejuruan IP Yakin,"Alamat: 3, Jl. Bangun Nusa Raya No.10, RT.3/RW.2, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730 "
141,Cengkareng Tim.,CENGKARENG,SMA Cinta Kasih Tzu Chi,"Alamat: Jl. Rumah Susun Cengkareng Indah Blok Kelapa No.A11, RT.7/RW.14, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730 "
142,Cengkareng Tim.,CENGKARENG,SMA Harapan Jaya 1,"Alamat: Jl. Daan Mogot KM. 13, Jl. Pelita No.1, RT.7/RW.1, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730 "
143,Cengkareng Tim.,CENGKARENG,SMA Cahaya Fadilah,"Alamat: Jalan Lingkar Luar Barat, RT.1/RW.2, Cengkareng Barat, Cengkareng, RT.1/RW.2, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750 "
144,Grogol,GROGOL PETAMBURAN,SMK & SMP Tanjung,"Alamat: Jl. Dr. Nurdin IV No.1, RW.7, Grogol, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450 "
145,Tj. Duren Utara,GROGOL PETAMBURAN,SMAK 1 BPK Penabur,"Alamat: 12, Jl. Tanjung Duren Raya No.4, RT.12/RW.2, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470 "
146,Tomang,GROGOL PETAMBURAN,SMAN 23 Jakarta,"Alamat: Prov. D.K.I, Jl. Mandala Utara No.6, RT.7/RW.7, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440 "
147,Tomang,GROGOL PETAMBURAN,SMA Muhammadiyah 13 Jakarta Barat,"Alamat: Jl. Gelong Baru No. 23 A, Tomang Raya, RT.12/RW.3, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440 "
148,Jelambar,GROGOL PETAMBURAN,SMA Bunda Hati Kudus,"Alamat: 12, Jl. Rahayu No.22, RT.14/RW.4, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460 "
149,Jelambar,GROGOL PETAMBURAN,Sekolah Menengah Atas St. Kristoforus,"Alamat: Jl. Rahayu No.10, RT.14/RW.4, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460 "
150,Jelambar,GROGOL PETAMBURAN,Sekolah Menengah Atas Dharma Jaya,"Alamat: Jalan Kavling Polri Blok D-XV No.1, RT.7/RW.1, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460 "
151,Jelambar Baru,GROGOL PETAMBURAN,Sekolah Tinggi Teologi Indonesia Jakarta,"Alamat: Grha Kabar Baik, Jl. Pangeran Tubagus Angke No.20, Jelambar Baru, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460 "
152,Wijaya Kusuma,GROGOL PETAMBURAN,Sekolah Menengah Kejuruan Duta Mas,"Alamat: Jl. Wijaya VIII No.11, RW.9, Wijaya Kusuma, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460 "
153,Wijaya Kusuma,GROGOL PETAMBURAN,SEKOLAH MENENGAH ATAS KRISTEN ALMASIH,"Alamat: Blok E1 Jl. Kusuma V No.1, RT.11/RW.5, Wijaya Kusuma, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460 "
154,Wijaya Kusuma,GROGOL PETAMBURAN,Sma Tunas Harapan,"Alamat: Jl. Perdana Kusuma No.RT.6, RT.2/RW.4, Wijaya Kusuma, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460 "
155,Wijaya Kusuma,GROGOL PETAMBURAN,SMA Kristen Pancaran Rakyat,"Alamat: Jl Setia Jaya Raya 100 RT 004%2F06 Jelambar Grogol Petamburan Jakarta Barat DKI Jakarta, RT.7/RW.6, Wijaya Kusuma, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460 "
156,Taman Sari,TAMAN SARI,Sekolah Menengah Kejuruan Permata Bunda II,"Alamat: Jl. Taman Sari No.1, RT.12/RW.1, Taman Sari, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11150 "
157,Taman Sari,TAMAN SARI,SMA NEGERI 17 Jakarta Barat,"Alamat: Jl. Mangga Besar IV I No.27, RW.1, Taman Sari, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11150 "
158,Krukut,TAMAN SARI,SMK Negeri 35 Jakarta Barat,"Alamat: Jl. Kerajinan Kebun Sayur No.42, RT.15/RW.10, Krukut, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11140 "
159,Tangki,TAMAN SARI,Sekolah Menengah Atas Santo Leo,"Alamat: Jl. Raya Mangga Besar No.43, RT.1/RW.3, Tangki, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11170 "
160,Mangga Besar,TAMAN SARI,Sekolah Menengah Atas Sentosa Pagi,"Alamat: 11180, Jl. Madu No.276, RT.3/RW.3, Mangga Besar, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11180 "
161,Keagungan,TAMAN SARI,Sekolah Menengah Atas Negeri 2 Jakarta Barat,"Alamat: Jl. Gajah Mada No.175, RW.5, Keagungan, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11130 "
162,Keagungan,TAMAN SARI,STM Camp Java 67,"Alamat: RRW6+5H4, Jl. Kp. Jawa Kb. Sayur, RT.12/RW.10, Keagungan, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta "
163,Tambora,TAMBORA,SMA Islam Tambora,"Alamat: Jl. Tambora I No.11, RT.8/RW.3, Tambora, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11220 "
164,Tambora,TAMBORA,SMA Negeri 19 Jakarta,"Alamat: 10, Jl. Perniagaan Raya No.31, RW.1, Tambora, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11220 "
165,Kali Anyar,TAMBORA,SMK Islam Bahagia,"Alamat: Jalan Persima Raya No.15, RT.4/RW.4, Kali Anyar, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11310 "
166,Duri Utara,TAMBORA,SMA PELITA,"Alamat: Jl. Pos Duri Raya No.23-29, RT.2/RW.6, Duri Utara, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11270 "
167,Duri Utara,TAMBORA,Sekolah Menengah Kejuruan Cindera Mata Indah,"Alamat: Jl. Duri (Tss Raya) No.86, RT.1/RW.5, Duri Utara, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11270 "
168,Angke,TAMBORA,Sekolah Menengah Atas Dhammasavana,"Alamat: Jl. Pangeran Tubagus Angke No.431, RT.15/RW.2, Angke, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11330 "
169,Angke,TAMBORA,SMA Dhammasavana,"Alamat: Jl, Jl. Pada Mulya VI No.176 B, Angke, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11330 "
170,Pekojan,TAMBORA,SMK Negeri 9 Jakarta Barat,"Alamat: Jl. Gedong Panjang II No.17, Pekojan, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11240 "
171,Sukabumi Sel.,KEBON JERUK,SMK Negeri 45 Jakarta,"Alamat: Jl. Kpbd No.9, RT.9/RW.1, Sukabumi Sel., Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11560 "
172,Duri Kepa,KEBON JERUK,SMA Yadika 1 Duri Kepa,"Alamat: Jalan Taman Ratu Indah Blok EE 5 No.5, RT.9/RW.1, Duri Kepa, Kebonjeruk, West Jakarta City, Jakarta 11510 "
173,Duri Kepa,KEBON JERUK,SMA WARDAYA,"Alamat: Taman Ratu Indah, Blk. F No.13, RT.10/RW.13, Duri Kepa, Kec. Kb. Jeruk, Daerah Khusus Ibukota Jakarta 11510 "
174,Duri Kepa,KEBON JERUK,SMA Abdi Siswa,"Alamat: Jl. Patra, RT.1/RW.3, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510 "
175,Duri Kepa,KEBON JERUK,SMK Putra Mandiri,"Alamat: Jl. Asia Baru No.60, RT.10/RW.4, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 12540 "
176,Kedoya Utara,KEBON JERUK,SMA NEGERI 57 Jakarta Barat,"Alamat: Jl. Kedoya Raya, RT.11/RW.6, Kedoya Utara, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520 "
177,Kedoya Utara,KEBON JERUK,SMK Al - Hamidiyah,"Alamat: Jl. Kedoya Raya Seletan No.50, RT.8/RW.2, Kedoya Utara, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520 "
178,Kec. Kalideres,KALIDERES,SMA Negeri 56 Jakarta,"Alamat: Jl. Kamal Raya, Tegal Alur, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820 "
179,Kec. Kalideres,KALIDERES,SMA San Marino,"Alamat: Jalan Citra Garden 1 Blok B1 No.1, RT.16/RW.9, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840 "
180,Kec. Kalideres,KALIDERES,Madrasah Aliyah Da'il Khairaat (Yayasan Da'il Khairaat),"Alamat: Jl. Peta Barat No.110B, RT.6/RW.18, Pegadungan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830 "
181,Semanan,KALIDERES,SMAN 94 Jakarta,"Alamat: 5, Jl. SMA 94 Jl. Semanan Raya No.27, RT.4/RW.3, Semanan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850 "
