,Kelurahan,Kecamatan,Nama Starbucks,Alamat
76,Menteng Dalam,TEBET,Starbucks Forward SOGO Kota Kasablanka,"Alamat: Jl. Raya Casablanca No.14, RW.5, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta "
77,Karet Semanggi,SETIA BUDI,Starbucks Plaza Sentral,"Alamat: Jl. Jend. Sudirman No.47, RT.5/RW.4, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930 "
78,Karet Semanggi,SETIA BUDI,Starbucks Kartika Chandra,"Alamat: Jl. Gatot Subroto No.Kav 18-20, RT.3/RW.2, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930 "
79,Karet Semanggi,SETIA BUDI,Starbucks Menara Standard Chartered,"Alamat: Menara Standard Chartered, Jl. Prof. DR. Satrio No.164, RT.4/RW.4, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930 "
80,Karet Semanggi,SETIA BUDI,Starbucks,"Alamat: Sampoerna Strategic Tower A Ground Floors Unit 03, Jl. Jenderal Sudirman, RT.10/RW.3, Karet Semanggi, Daerah Khusus Ibukota Jakarta 12930 "
81,Karet Semanggi,SETIA BUDI,Starbucks Tokopedia Tower,"Alamat: RT.3/RW.3 Karet Semanggi, Setiabudi, Jl. Prof. DR. Satrio No.Kav 11, RT.3/RW.3, Karet Semanggi, Setiabudi, South Jakarta City, Jakarta 12940 "
82,Karet Kuningan,SETIA BUDI,Starbucks,"Alamat: Jl. H. R. Rasuna Said No.1-2a, RT.18/RW.2, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920 "
83,Karet Kuningan,SETIA BUDI,Starbucks,"Alamat: Plaza Festival, Jl. H R Rasuna Said Kav C No. 22, Karet Kuningan, Setiabudi, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940 "
84,Karet Kuningan,SETIA BUDI,Starbucks,"Alamat: Jl. Prof. DR. Satrio No.18, RT.18/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930 "
85,Karet Kuningan,SETIA BUDI,Starbucks Kuningan City,"Alamat: 14, Jl. Prof. DR. Satrio No.18, RW.4, Kuningan, Karet Kuningan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940 "
86,Karet,SETIA BUDI,Starbucks,"Alamat: Jl. Jenderal Sudirman No.Kav 27, RW.2, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920 "
87,Guntur,SETIA BUDI,Starbucks,"Alamat: Medialand Tower, Jl. H. R. Rasuna Said No.2, RW.6, Guntur, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950 "
88,Kuningan Tim.,SETIA BUDI,Starbucks Coffee - The East,"Alamat: The East, Lantai 1, Lingkar Mega Kuningan No.1, RT.5/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950 "
89,Kuningan Tim.,SETIA BUDI,Starbucks Coffee,"Alamat: Jl. H. R. Rasuna Said Blok X No.1 Kuningan Tim. Kota SelatanSetia Budi, RT.1/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950 "
90,Kuningan Tim.,SETIA BUDI,Starbucks,"Alamat: Cyber 2, Lantai GF, Blok X-5 Kav 1-2, Jl. H. R. Rasuna Said, RT.7/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950 "
91,Kuningan Tim.,SETIA BUDI,Starbucks Coffee Tempo Scan Tower,"Alamat: Tempo Scan Tower, Ground Floor, Jl. H. R. Rasuna Said, RT.5/RW.4, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950 "
92,Bangka,MAMPANG PRAPATAN,Starbucks Kemang Sky,"Alamat: Jl. Kemang Raya No.12, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730 "
93,Bangka,MAMPANG PRAPATAN,Starbucks Coffee,"Alamat: Jl. Pangeran Antasari Jl. Kemang Raya No.36, RT.13/RW.5, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12150 "
94,Bangka,MAMPANG PRAPATAN,Starbucks Coffee Colony Kemang,"Alamat: Jl. Kemang Raya No.6A, RT.14/RW.1, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730 "
95,Kuningan Bar.,MAMPANG PRAPATAN,Starbucks Telkom Landmark Tower,"Alamat: The Telkom Hub, Jl. Gatot Subroto No.Kav. 52, RT.6/RW.1, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710 "
96,Ps. Minggu,PASAR MINGGU,Starbucks Coffee,"Alamat: 53A, Jl. TB Simatupang No.2, RT.2/RW.1, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520 "
97,Ps. Minggu,PASAR MINGGU,Starbucks Pejaten Raya,"Alamat: Jl. Pejaten Raya No.26, RW.7, Pejaten Bar., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510 "
98,Ps. Minggu,PASAR MINGGU,Starbucks Coffee,"Alamat: Perkantoran Hijau Arkadia Tower F Lantai GF, Jl. TB Simatupang No.88, RT.1/RW.2, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520 "
99,Pejaten Bar.,PASAR MINGGU,Starbucks Pejaten Raya,"Alamat: Jl. Pejaten Raya No.26, RW.7, Pejaten Bar., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510 "
100,Pejaten Bar.,PASAR MINGGU,Starbucks Coffee,"Alamat: Jl. Buncit Raya No.98, RT.1/RW.7, Pejaten Bar., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510 "
101,Kebagusan,PASAR MINGGU,Starbucks Coffee,"Alamat: 53A, Jl. TB Simatupang No.2, RT.2/RW.1, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520 "
102,Kebagusan,PASAR MINGGU,Starbucks Coffee,"Alamat: Perkantoran Hijau Arkadia Tower F Lantai GF, Jl. TB Simatupang No.88, RT.1/RW.2, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520 "
103,Kby. Lama Utara,KEBAYORAN LAMA,Starbucks Coffee - Gandaria City Mall,"Alamat: Gandaria City Mall Lt. G, Jl. Kyai Haji Moh Syafi Hadzami No. 8, Kebayoran Lama Utara, Kebayoran Lama, RT.10/RW.6, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240 "
104,Kby. Lama Utara,KEBAYORAN LAMA,Starbucks Reserve (Gandaria City),"Alamat: Gandaria City, Lantai GF, Jl. Arteri Pd. Indah No.22-23, RT.10/RW.6, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240 "
105,Pd. Pinang,KEBAYORAN LAMA,Starbucks,"Alamat: 2, Jl. Gedung Hijau I No.9, RT.1/RW.13, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310 "
106,Pd. Pinang,KEBAYORAN LAMA,Starbucks,"Alamat: Wisma BCA Pd. Indah, 1, Jl. Metro Pondok Indah No.10, RW.17, Pd. Pinang, 12310 "
107,Pd. Pinang,KEBAYORAN LAMA,Starbucks,"Alamat: Pd. Indah Office Tower 3, Jl. Arteri Pd. Indah, RT.4/RW.3, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310 "
108,Pd. Pinang,KEBAYORAN LAMA,Starbucks Ruko Plaza Pondok Indah,"Alamat: Carrefour, Jl. Lebak Bulus Raya No.8, RT.1/RW.7, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310 "
109,Pd. Pinang,KEBAYORAN LAMA,Starbucks PIM 3,"Alamat: PQMJ+VF4, Jl. Kartika Utama, RT.6/RW.3, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310 "
110,Grogol Utara,KEBAYORAN LAMA,Starbucks Bellezza Shopping Arcade,"Alamat: 4, Jl. Letnan Jenderal Soepeno No.34, RT.4/RW.2, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210 "
111,Cilandak Bar.,CILANDAK,Starbucks Coffee,"Alamat: Jalan TB. Simatupang Kav. 23-24, Cilandak, RT.1/RW.1, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430 "
112,Cilandak Bar.,CILANDAK,Starbucks Terogong,"Alamat: Jl. Terogong Raya No.10, RT.15/RW.10, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430 "
113,Cilandak Bar.,CILANDAK,Starbucks Coffe Talavera Office,"Alamat: South Jakarta 1 1, RT.1/RW.1, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430 "
114,Lb. Bulus,CILANDAK,Starbucks Menara FIF,"Alamat: Jl. Tol Tahi Bonar Simatupang No.Kav. 15, RW.1, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440 "
115,Gandaria Sel.,CILANDAK,Starbucks,"Alamat: 8, Jl. RS. Fatmawati Raya No.15, RW.6, Gandaria Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12420 "
116,Melawai,KEBAYORAN BARU,Starbucks Melawai,"Alamat: JL Melawai Raya 189 B Ground Floor 3, RT.3/RW.1, Melawai, Jakarta, South Jakarta City, Jakarta 12160 "
117,Melawai,KEBAYORAN BARU,Starbucks d'Prima Hotel Melawai,"Alamat: Jl. Melawai 9 No.2, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160 "
118,Melawai,KEBAYORAN BARU,Starbucks Pasaraya Grande,"Alamat: Pasaraya Grande, Jl. Sultan Iskandarsyah No. 2, Melawai, Kebayoran Baru, RT.3/RW.1, RT.3/RW.1, Melawai, Kebayoran Baru, South Jakarta City, Jakarta 12160 "
119,Gunung,KEBAYORAN BARU,Starbucks Reserve - Pakubuwono,"Alamat: Jl. Pakubuwono VI No.10, RT.6/RW.6, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12120 "
120,Gunung,KEBAYORAN BARU,Starbucks Coffee,"Alamat: Jl. Kyai Maja No.43, RT.4/RW.8, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12120 "
121,Kramat Pela,KEBAYORAN BARU,Starbucks,"Alamat: QQ4X+24Q, RT.6/RW.6, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130 "
122,Kramat Pela,KEBAYORAN BARU,Starbucks La Maison Barito,"Alamat: QQ3V+FMV, Jl. Gandaria Tengah III, RT.4/RW.4, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130 "
123,Kramat Pela,KEBAYORAN BARU,Starbucks,"Alamat: RT.1/RW.10, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130 "
124,Pancoran,PANCORAN,Starbucks L' Avenue,"Alamat: Lâ€™Avenue Residences, Jl. Raya Pasar Minggu No.Kav. 16, RT.7/RW.9, Pancoran, South Jakarta City, Jakarta 12780 "
125,Duren Tiga,PANCORAN,Starbucks DT Mampang Business Park,"Alamat: PRVH+69J, RT.7/RW.2, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760 "
126,Kec. Jagakarsa,JAGAKARSA,Starbucks Lenteng Agung,"Alamat: Jl. Raya Lenteng Agung No.5, RW.1, Srengseng Sawah, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 10550 "
127,Kec. Jagakarsa,JAGAKARSA,Starbucks,"Alamat: MRVR+72F, RT.2/RW.1, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta "
128,Kec. Jagakarsa,JAGAKARSA,Starbucks At Antam Building,"Alamat: Jalan Tanjung Barat Lama No.7, Jagakarsa, RT.10/RW.4, Tanjung Barat, RT.10/RW.4, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12530 "
129,Srengseng Sawah,JAGAKARSA,Starbucks Lenteng Agung,"Alamat: Jl. Raya Lenteng Agung No.5, RW.1, Srengseng Sawah, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 10550 "
130,Tj. Bar.,JAGAKARSA,Starbucks At Antam Building,"Alamat: Jalan Tanjung Barat Lama No.7, Jagakarsa, RT.10/RW.4, Tanjung Barat, RT.10/RW.4, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12530 "
131,Tj. Bar.,JAGAKARSA,Starbucks,"Alamat: MRVR+72F, RT.2/RW.1, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta "
132,Bintaro,PESANGGRAHAN,Starbucks Coffee,"Alamat: Kec, 11, Jl. RC. Veteran Raya Blok Anggrek No.8, RT.8/RW.1, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12330 "
133,Kb. Manggis,MATRAMAN,Starbucks Matraman,"Alamat: Jl. Matraman Raya No.18, RT.2/RW.1, Kb. Manggis, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13150 "
134,Kayu Putih,PULO GADUNG,Starbucks coffee,"Alamat: Komplek The High End City Korea Town, Jl. Kayu Putih Raya No.1, RW.16, Kayu Putih, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13210 "
135,Bali Mester,JATINEGARA,Starbucks Cityplaza,"Alamat: No.173-175, Balimester Jatinegara Jakarta 7, Jl. Matraman Raya, RT.7/RW.6, Bali Mester, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13310 "
136,Cipinang Cempedak,JATINEGARA,Starbucks Tamansari The Hive,"Alamat: The Hive, GF, Jl. DI. Panjaitan No.7, RW.11, Cipinang Cempedak, East Jakarta City, Jakarta 13340 "
137,Kramat Jati,KRAMAT JATI,Starbucks Condet,"Alamat: PV44+C86, RW, RT.5/RW.3, Bale Kambang, Kramat Jati, East Jakarta City, Jakarta 13530 "
138,Cawang,KRAMAT JATI,Starbucks,"Alamat: Jl. Dewi Sartika No.8, RT.8/RW.4, Cawang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630 "
139,Cawang,KRAMAT JATI,Starbucks Dewi Sartika Jaktim,"Alamat: Jl. Dewi Sartika No.322, RT.4/RW.5, Cawang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630 "
140,Jatinegara,CAKUNG,Starbucks Mall Bassura,"Alamat: Mall Basura 2, Lantai GF,Bali Mester, Jl. Jend. Basuki Rachmat No.1A, RT.8/RW.10, South Cipinang Besar, Jatinegara, East Jakarta City, Jakarta 13410 "
141,Duren Sawit,DUREN SAWIT,Starbucks Kalimalang,"Alamat: Jl. Raya Kalimalang No.Kav. 20, RT./RW:/RW.003, Duren Sawit, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13440 "
142,Makasar,MAKASAR,Starbucks - Halim Perdanakusuma 2 (Batik Boarding Lounge),"Alamat: Boarding Lounge, Bandara Halim PK., Batik, RT.1/RW.9, Halim Perdana Kusumah, Makasar, East Jakarta City, Jakarta 13610 "
143,Halim Perdana Kusumah,MAKASAR,Starbucks - Halim Perdanakusuma 2 (Batik Boarding Lounge),"Alamat: Boarding Lounge, Bandara Halim PK., Batik, RT.1/RW.9, Halim Perdana Kusumah, Makasar, East Jakarta City, Jakarta 13610 "
144,Halim Perdana Kusumah,MAKASAR,Starbucks Gate 8 Halim Perdanakusuma,"Alamat: PVMP+Q7H, Halim Perdana Kusumah, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta "
145,Halim Perdana Kusumah,MAKASAR,Starbucks Coffee - Halim Perdanakusuma Airport,"Alamat: Jl. Komodor Halim Perdana Kusuma No.15, RT.1/RW.9, Halim Perdana Kusumah, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13610 "
146,Cipayung,CIPAYUNG,Starbucks Coffee,"Alamat: Km. 10.6, Cibubur Square 1st Fl Zona B B1-1, Jl. Tol Jagorawi, RT.7/RW.1, Cipayung, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13840 "
147,Ceger,CIPAYUNG,Starbucks Green Terrace,"Alamat: Jl. Raya Mabes Hankam, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820 "
148,Ceger,CIPAYUNG,Starbucks Sakura Garden City,"Alamat: MVGQ+MHJ, Jl. Bina Marga, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820 "
