,Kelurahan,Kecamatan,Nama,Alamat
0,"Pulau Panggang, Kepulauan Seribu Utara, Kepulauan Seribu",KEP. SERIBU UTARA,Karya Beach,"Alamat: 7J72+W82 Pulau Karya, Pulau Panggang, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530 "
1,"Pulau Panggang, Kepulauan Seribu Utara, Kepulauan Seribu",KEP. SERIBU UTARA,Panggang island,"Alamat: 7J37+HQP, Pulau Panggang, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530 "
2,Pulau Klp.,KEP. SERIBU UTARA,Wisata Pulau Kelapa,"Alamat: RT.02/RW.01, Pulau Klp., Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 13410 "
3,Pulau Klp.,KEP. SERIBU UTARA,Pulau Kaliage,"Alamat: 8HQ8+6RR, Klp.,, Pulau Klp., Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530 "
4,Pulau Klp.,KEP. SERIBU UTARA,Pulau Harapan Trip,"Alamat: Pulau Kelapa Dua Kec. Pulau Kelapa Kab. ADM. Kepulauan Seribu Utara, Pulau Kelapa, Jakarta Utara, Pulau Kelapa, Kepulauan Seribu Utara Pulau Kelapa Kepulauan Seribu Utara, Pulau Kelapa, Kepulauan Seribu Utara, Pulau Klp., Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14540 "
5,PULAU HARAPAN,KEP. SERIBU UTARA,Wisata Pulau Harapan,"Alamat: RT.05/RW.02, Pulau Harapan, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14540 "
6,PULAU UNTUNG JAWA,KEP. SERIBU SELATAN,Untung Jawa Tour,"Alamat: Jl. Dermaga Barat, Pulau Untung Jawa, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14510 "
7,PULAU UNTUNG JAWA,KEP. SERIBU SELATAN,Pulau Kelor,"Alamat: XPFW+P59, Pulau Untung Jawa, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta "
8,PULAU UNTUNG JAWA,KEP. SERIBU SELATAN,Pulau Rambut Preserve,"Alamat: 2MCV+X5X, Pulau Untung Jawa, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta "
9,PULAU UNTUNG JAWA,KEP. SERIBU SELATAN,Museum Pulau Onrust,"Alamat: Onrust/Kapal), Pulau, Pulau Untung Jawa, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta "
10,PULAU UNTUNG JAWA,KEP. SERIBU SELATAN,Pulau Cipir,"Alamat: XP6P+679, Pulau Untung Jawa, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta "
11,PULAU UNTUNG JAWA,KEP. SERIBU SELATAN,Pohon Pengantin,"Alamat: 2PF5+XHP, Pulau Untung Jawa, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14510 "
12,PULAU UNTUNG JAWA,KEP. SERIBU SELATAN,Whole Cake Island,"Alamat: XPFW+M44, Pulau Untung Jawa, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta "
13,PULAU UNTUNG JAWA,KEP. SERIBU SELATAN,Taman Dermaga Timur,"Alamat: 2P95+XJV, Pulau Untung Jawa, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta "
14,PULAU TIDUNG,KEP. SERIBU SELATAN,Wisata Pulau Tidung Kepulauan Seribu,"Alamat: 5GWF+M34, Pulau Tidung, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520 "
15,PULAU TIDUNG,KEP. SERIBU SELATAN,Dinowisata Pulau Seribu,"Alamat: Selatan Kab. Administrasi, Pulau Tidung RT.001/03 No.20, Pulau Tidung, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520 "
16,PULAU TIDUNG,KEP. SERIBU SELATAN,Wisata Pulau Tidung Kecil,"Alamat: 5GVC+VVG, Unnamed Road, Pulau Tidung, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520 "
17,PULAU TIDUNG,KEP. SERIBU SELATAN,Pulau Seribu Traveling,"Alamat: Jl. Pantai Selatan No. 14, RT. 06 / RW. 01, Pulau Tidung, Kepulauan Seribu Selatan, Pulau Tidung, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520 "
18,PULAU TIDUNG,KEP. SERIBU SELATAN,Paket Pulau Tidung,"Alamat: Pulau Tidung Rt 003/02 Kelurahan, Jakarta, Pulau Tidung, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520 "
19,PULAU TIDUNG,KEP. SERIBU SELATAN,Travel Pulau Payung,"Alamat: Pulau payung Dki jakarta, Pulau Tidung, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530 "
20,PULAU TIDUNG,KEP. SERIBU SELATAN,Tidung Water Sport,"Alamat: 5GWF+PG7, Pulau Tidung, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520 "
21,PULAU TIDUNG,KEP. SERIBU SELATAN,BIRO WISATA PULAU TIDUNG,"Alamat: Selatan, Jl. Kampung Baru Rt 002 Rw 003 No 31. Kel. Pulau Tidung Kec, Pulau Tidung, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520 "
22,Pulau Pari,KEP. SERIBU SELATAN,Pantai Pasir Perawan,"Alamat: Jl. Pari Utama, Pulau Pari, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520 "
23,Pulau Pari,KEP. SERIBU SELATAN,Wisata pulau,"Alamat: JL.utama pari raya No.16, RT.2/RW.4, Pulau Pari, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520 "
24,Pulau Pari,KEP. SERIBU SELATAN,WISATA PULAU PARI,"Alamat: Pulau Pari RT dua RW 4 Kelurahan Pulau Pari Kecamatan Kepulauan Seribu, Selatan, Kabupaten Kepulauan Seribu, Pulau Pari, Kec. Kepulauan Seribu Sel., Jakarta, Daerah Khusus Ibukota Jakarta 14528 "
25,Pulau Pari,KEP. SERIBU SELATAN,Pulau Pari Tour And Travel,"Alamat: 4JVF+QM5, Pulau Pari, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520 "
26,Pulau Pari,KEP. SERIBU SELATAN,Dermaga LIPI,"Alamat: 4JP6+J32, Pulau Pari, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520 "
27,Pulau Pari,KEP. SERIBU SELATAN,Taman Mangrove Pulaupariofficial,"Alamat: 4JWJ+498, Pulau Pari, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520 "
28,Gambir,GAMBIR,GAMBIR STATION,"Alamat: RRFJ+W3W, pojok umkm indonesia stasiun gambir pintu keluar utara, RT.5/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110 "
29,Gambir,GAMBIR,Best View of Monas,"Alamat: RRFH+RX2, RT.5/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110 "
30,Gambir,GAMBIR,Monumen Nasional (Monas),"Alamat: 5, Jl. Medan Merdeka Utara No.2, RT.5/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110 "
31,Gambir,GAMBIR,Taman Pandang Istana,"Alamat: Jalan Silang Monas Barat Laut, RT.5/RW.2, Gambir, RT.5/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110 "
32,Gambir,GAMBIR,Museum Nasional Indonesia,"Alamat: Jl. Medan Merdeka Barat No.12, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110 "
33,Petojo Sel.,GAMBIR,Museum Prasasti Jakarta,"Alamat: Jl. Tanah Abang I No.1, RT.11/RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160 "
34,Kb. Klp.,GAMBIR,Tugu Harmoni,"Alamat: Jl. Hayam Wuruk VI No.1, RT.2/RW.3, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120 "
35,Ps. Baru,SAWAH BESAR,Taman Lapangan Banteng,"Alamat: RRHP+Q2F, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710 "
36,Ps. Baru,SAWAH BESAR,Gedung Filateli Jakarta,"Alamat: RRMM+7FJ, Jl. Pos, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710 "
37,Ps. Baru,SAWAH BESAR,Taman Dr. Wahidin,"Alamat: RRMQ+3M3, Jl. Dr. Wahidin I, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710 "
38,Ps. Baru,SAWAH BESAR,Museum Katedral Jakarta,"Alamat: Gereja Katedral Jkt, Jl. Katedral, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710 "
39,Ps. Baru,SAWAH BESAR,Galeri Foto Jurnalistik Antara,"Alamat: Jl. Antara No.59, RT.2/RW.1, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710 "
40,Kb. Kosong,KEMAYORAN,Museum Sejarah Jakarta,"Alamat: Jl. Convair No.13, RW.6, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630 "
41,Gn. Sahari Sel.,KEMAYORAN,Pusat Wisata Kuliner JTS keMAYORAn,"Alamat: Jl. Garuda I No.10, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
42,Senen,SENEN,Museum Kebangkitan Nasional Jakarta,"Alamat: Jl. Abdul Rachman Saleh No.26, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410 "
43,Kenari,SENEN,Museum MH. Thamrin,"Alamat: Jl. Kenari 2 No.15, RW.4, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430 "
44,Kwitang,SENEN,Museum Sumpah Pemuda Jakarta,"Alamat: Jl. Kramat Raya No.106, RW.9, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10420 "
45,Kec. Menteng,MENTENG,Taman Menteng,"Alamat: Jl. HOS. Cokroaminoto, RT.3/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310 "
46,Kec. Menteng,MENTENG,Taman Suropati,"Alamat: Jl. Taman Suropati No.5, RT.5/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310 "
47,Kec. Menteng,MENTENG,Frog Park Menteng,"Alamat: Taman kodok, RT.3/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310 "
48,Kec. Menteng,MENTENG,Bundaran HI,"Alamat: RR3F+W64, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta "
49,Kec. Menteng,MENTENG,Antique Market,"Alamat: RR2R+636, Jl. Surabaya Menteng Menteng Menteng Jakarta Pusat DKI Jakarta, RT.15/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310 "
50,Kec. Menteng,MENTENG,Taman Situ Lembang,"Alamat: Jl. Lembang Terusan No.D-59, RT.6/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 12910 "
51,Kec. Menteng,MENTENG,Taman Proklamator,"Alamat: Jl. Proklamasi No.10, RT.10/RW.2, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320 "
52,Kec. Menteng,MENTENG,Miniapolis Plaza Indonesia,"Alamat: Plaza Indonesia Lt. 3, Jl. MH. Thamrin No. 28 - 30, Gondangdia, Menteng, RT.9/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350 "
53,Kec. Menteng,MENTENG,Museum Sasmita Loka Ahmad Yani,"Alamat: 11, Jl. Lembang No.67, RT.11/RW.7, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310 "
54,Kec. Menteng,MENTENG,Museum Perumusan Naskah Proklamasi,"Alamat: Jl. Imam Bonjol No.1, RW.4, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310 "
55,Pegangsaan,MENTENG,Taman Proklamator,"Alamat: Jl. Proklamasi No.10, RT.10/RW.2, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320 "
56,Gondangdia,MENTENG,Miniapolis Plaza Indonesia,"Alamat: Plaza Indonesia Lt. 3, Jl. MH. Thamrin No. 28 - 30, Gondangdia, Menteng, RT.9/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350 "
57,Gondangdia,MENTENG,Sky Deck Sarinah,"Alamat: Sarinah, Jl. M.H. Thamrin No.11, RT.8/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350 "
58,Gondangdia,MENTENG,Taman Gondangdia,"Alamat: RT.1/RW.1, Gondangdia, Menteng, RT.1/RW.1, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350 "
59,Gelora,TANAH ABANG,Pintu 6 Gelora Bung Karno,"Alamat: Pintu 6 Gelora Bung Karno, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270 "
60,Gelora,TANAH ABANG,Krida loka,"Alamat: Jl. Gerbang Pemuda No.3, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270 "
61,Gelora,TANAH ABANG,Imagispace,"Alamat: Plaza Senayan, Jl. Asia Afrika No.8, RT.1/RW.3, Gelora, Tanah Abang, Central Jakarta City, Jakarta 10270 "
62,Karet Tengsin,TANAH ABANG,JPO karet,"Alamat: QRP9+QRP, Jl. Jenderal Sudirman, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta "
63,Karet Tengsin,TANAH ABANG,Jembatan Phinisi,"Alamat: QRP9+QV6, RT.10/RW.11, Karet Tengsin, Kecamatan Setiabudi, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250 "
64,Karet Tengsin,TANAH ABANG,CFD ANTV Corner,"Alamat: Jl. Jenderal Sudirman No.10, RW.11, Kuningan, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta "
65,Karet Tengsin,TANAH ABANG,Jembatan Penyeberangan Orang Setiabudi,"Alamat: Jl. Jenderal Sudirman No.10, RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250 "
0,Penjaringan,PENJARINGAN,The Mangrove Paddling Center,"Alamat: 8, RW.1, Kamal Muara, Penjaringan, North Jakarta City, Jakarta "
1,Kamal Muara,PENJARINGAN,Urban Farm PIK,"Alamat: Kawasan Pantai Maju, Jl. The Golf Island Boulevard Kel, Kamal Muara, Kec. Penjaringan, Daerah Khusus Ibukota Jakarta 14460 "
2,Kamal Muara,PENJARINGAN,The Mangrove Paddling Center,"Alamat: 8, RW.1, Kamal Muara, Penjaringan, North Jakarta City, Jakarta "
3,Kamal Muara,PENJARINGAN,Cove at Batavia PIK,"Alamat: Pantai Golf Island, Jl. Pantai Indah Kapuk No.1, RT.7/RW.2, Kamal Muara, Kec. Penjaringan, 14460 "
4,Kamal Muara,PENJARINGAN,Pagoda @ PIK 2 Pantjoran Chinatown,"Alamat: WP6R+8R3, Jl. Pantai Indah Kapuk, RT.7/RW.2, Kamal Muara, Jkt Utara, Daerah Khusus Ibukota Jakarta 14460 "
5,Kamal Muara,PENJARINGAN,Muara PIK,"Alamat: VPXP+VWG, Unnamed Road, RT.8/RW.1, Kamal Muara, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14470 "
6,Kamal Muara,PENJARINGAN,Meppo Kamal DJAVATRIP,"Alamat: Jl. Pantai Kamal No.RT.8, RT.8/RW.1, Kamal Muara, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14470 "
7,Kamal Muara,PENJARINGAN,Sungai PIK,"Alamat: VQV2+V8V, Sungai, Jl. Pantai Indah Kapuk, RT.7/RW.2, Kamal Muara, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14470 "
8,Kamal Muara,PENJARINGAN,TITIK MOTOR GARUS TRAVEL TRIP PULAU,"Alamat: 8, Jl. Pantai Kamal No.RT.8, RT.8/RW.1, Kamal Muara, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14470 "
9,Kamal Muara,PENJARINGAN,Jual lumut PIK cengkarng,"Alamat: VQH2+399, RT.7/RW.2, Kamal Muara, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14470 "
10,Kapuk Muara,PENJARINGAN,Mangrove PIK,"Alamat: VQH3+6RM, RT.7/RW.7, Kapuk Muara, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14460 "
11,Kapuk Muara,PENJARINGAN,Suaka Margasatwa Muara Angke,"Alamat: RT.1/RW.16, Kapuk Muara, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14460 "
12,Kapuk Muara,PENJARINGAN,Mural Lea manise,"Alamat: VQ6G+54X, Jl. Kapuk Muara Raya, RT.1/RW.2, Kapuk Muara, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14460 "
13,Kapuk Muara,PENJARINGAN,Pohon RF,"Alamat: VQJ4+98H, Jl. Mandara Permai, RT.1/RW.16, Kapuk Muara, Penjaringan, North Jakarta City, Jakarta "
14,Kapuk Muara,PENJARINGAN,Banda,"Alamat: Jl. Duta Harapan Indah No.21, RT.8/RW.2, Kapuk Muara, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14460 "
15,Pejagalan,PENJARINGAN,Taman Hutan Kota Penjaringan,"Alamat: VQ8M+RGJ, Jl. Kepanduan II, RT.7/RW.16, Pejagalan, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450 "
16,Pejagalan,PENJARINGAN,Kalijodo boulevard,"Alamat: Jl. Kepanduan II No.29, RW.6, Pejagalan, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450 "
17,Pejagalan,PENJARINGAN,Galatama Bawal Abah samsuri,"Alamat: VQ4G+HCF, RT.6/RW.15, Pejagalan, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta "
18,Pejagalan,PENJARINGAN,Aula utama Kalijodo,"Alamat: VQ5Q+6WF, RT.4/RW.5, Pejagalan, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450 "
19,Pluit,PENJARINGAN,Taman Waduk Pluit,"Alamat: 6, Jl. Pluit Timur Raya No.12, RT.6/RW.5, Pluit, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450 "
20,Pluit,PENJARINGAN,Dermaga Muara Angke,"Alamat: Jl. Pendaratan Udang No.14, RW.2, Pluit, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450 "
21,Pluit,PENJARINGAN,Pluit Karang Cantik Park,"Alamat: Jl. Pluit Karang Cantik IX No.8, RT.8/RW.18, Pluit, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450 "
22,Sunter Jaya,TANJUNG PRIOK,Danau Sunter,"Alamat: VV3H+JG7, Danau Sunter, RT.11/RW.11, Sunter Jaya, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14360 "
23,Sunter Jaya,TANJUNG PRIOK,Danau Sunter Barat,"Alamat: VV28+MQ8, Danau Sunter Bar, RT.6/RW.12, Sunter Jaya, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14360 "
24,Sunter Jaya,TANJUNG PRIOK,PT. Raphita Wisata,"Alamat: Raphita Wisata, Jl. Sunter Kemayoran No.45, RT.1/RW.9, Sunter Jaya, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14360 "
25,Papanggo,TANJUNG PRIOK,Danau Cincin,"Alamat: Jl. Warakas VI Gg. 17 No.6, RW.5, Papanggo, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14340 "
26,Sungai Bambu,TANJUNG PRIOK,PEMANCINGAN GALAPUNG BANGOR 6161,"Alamat: 6, RT.6/RW.6, Sungai Bambu, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14320 "
27,Sunter Agung,TANJUNG PRIOK,Taman BMW,"Alamat: Jl. Danau Sunter Barat No.62, RW.6, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350 "
28,Sunter Agung,TANJUNG PRIOK,Di Planet Saturnus,"Alamat: Jl. Agung Utara VII No.52, RT.13/RW.9, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350 "
29,Kec. Koja,KOJA,Taman Walang Baru,"Alamat: Jl. Walang Baru Raya, RT.2/RW.15, Tugu Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260 "
30,Kec. Koja,KOJA,Taman Banyak,"Alamat: VVJW+6MM, RT.3/RW.3, Rawabadak Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14230 "
31,Kec. Koja,KOJA,RPTRA Sindang Raya,"Alamat: Jl. Sindang No.30, RT.8/RW.9, Koja, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14220 "
32,Tugu Utara,KOJA,Taman Walang Baru,"Alamat: Jl. Walang Baru Raya, RT.2/RW.15, Tugu Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260 "
