,Kelurahan,Kecamatan,Nama,Alamat
33,Tugu Utara,KOJA,Sewa tenda dan alat camping,"Alamat: 11, Jl. Lontar X No.14, RW.10, Tugu Utara, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260 "
34,Rawabadak Utara,KOJA,Taman Rawa Badak Utara,"Alamat: Jl. Yos Sudarso No.152, RT.3/RW.14, Rawabadak Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14230 "
35,Rawabadak Utara,KOJA,Pemandangan Waduk Rawabadak,"Alamat: Jl. Ps. Ular No.44, RW.3, Rawabadak Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14230 "
36,Rawabadak Utara,KOJA,Taman Banyak,"Alamat: VVJW+6MM, RT.3/RW.3, Rawabadak Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14230 "
37,Rawabadak Sel.,KOJA,Waduk Rawabadak,"Alamat: Jl. Mindi (Pembangunan 1) No.20, RT.8/RW.4, Rawabadak Sel., Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14230 "
38,Cilincing,CILINCING,Kampung Nelayan Cilincing,"Alamat: WW2Q+FVH, Unnamed Road, RW.2, Cilincing, North Jakarta City, Jakarta 14120 "
39,Cilincing,CILINCING,HUTAN KOTA CILINCING,"Alamat: Jl. Komp. Pelindo II, Cilincing, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta "
40,Cilincing,CILINCING,Dermaga Nelayan Cilincing,"Alamat: Jl. Cilincing Krematorium No.18, RT.7/RW.4, Cilincing, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14110 "
41,Sukapura,CILINCING,RPTRA Taman Pinus,"Alamat: Jl. Pinus II No.5, RT.12/RW.5, Sukapura, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14140 "
42,Sukapura,CILINCING,Taman Joging,"Alamat: Jl. Tanjung I No.12, RT.12/RW.5, Sukapura, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14140 "
43,Sukapura,CILINCING,Pemancingan Galapung Aji,"Alamat: RWVH+385, RW.4, Sukapura, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14140 "
44,Sukapura,CILINCING,Pemancingan Galatama Bawal Babeh Udin (Bang Dirut),"Alamat: RWQF+HP8, RT.3/RW.9, Sukapura, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14140 "
45,Marunda,CILINCING,Museum Kebaharian Jakarta Rumah Si Pitung,"Alamat: Jl. Kampung Marunda Pulo, RT.2/RW.7, Marunda, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14150 "
46,Marunda,CILINCING,Wisata Pemancingan. Tarumanegara,"Alamat: Jl. Pinggir Dermaga No.6, RW.1, Marunda, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14150 "
47,Marunda,CILINCING,Dermaga Kepu Resort,"Alamat: RT.8/RW.7, Marunda, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14150 "
48,Marunda,CILINCING,Parkiran laut marunda,"Alamat: WX46+GFJRT, RW.07, Marunda, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14150 "
49,Marunda,CILINCING,Marunda ujung,"Alamat: WX46+GGF, Jl. Rumah Si Pitung, RT.4/RW.7, Marunda, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14150 "
50,Marunda,CILINCING,Spot mancing ujung BKT,"Alamat: Jl. Pinggir Dermaga No.1, Marunda, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14150 "
51,Marunda,CILINCING,Empang Pak Tri Marunda,"Alamat: VXJ8+JM7, RT.1/RW.6, Marunda, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14150 "
52,Marunda,CILINCING,CRAB ADVENTURE,"Alamat: WX59+65, RT.4/RW.7, Marunda, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14150 "
53,Marunda,CILINCING,Sewa Perahu MARUNDA,"Alamat: WX46+GFJ, RT.4/RW.7, Marunda, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14150 "
54,Kali Baru,CILINCING,Danau Indah Kalibaru,"Alamat: Jl. Kp. Rw. Bambu No.54, RT.003/RW.008, Kali Baru, Kecamatan Medan Satria, Kota Bks, Jawa Barat 17132 "
55,Kali Baru,CILINCING,Plaza Kalibaru,"Alamat: Jl. Pelabuhan Kalibaru No.2, RT.6/RW.9, Kali Baru, Jkt Utara, Daerah Khusus Ibukota Jakarta 14110 "
56,Rorotan,CILINCING,jawara wisata pancing,"Alamat: Jl. Sungai Kendal No.14, RT.1/RW.8, Rorotan, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14140 "
57,Rorotan,CILINCING,BLACK KINGDOM,"Alamat: RWXW+C3Q, Jl. Rorotan 1, RT.1/RW.10, Rorotan, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14140 "
58,Rorotan,CILINCING,Jakarta melon farm,"Alamat: Malaka indah, Rorotan, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 13910 "
59,Semper Bar.,CILINCING,Dolphin Farm Jakarta,"Alamat: Jl. Belibis No.12, RW.4, Semper Bar., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130 "
60,Semper Bar.,CILINCING,NEW NBC,"Alamat: Jl. Sungai Barito No.3, RW.1, Semper Bar., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130 "
61,Semper Bar.,CILINCING,Djamal Fishing ( pemancingan djamal),"Alamat: RT.11/RW.4, Semper Bar., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130 "
62,Pademangan Tim.,PADEMANGAN,Gondola Ancol Stasiun C,"Alamat: No. 7, Taman Impian Jaya, Jl. Lodan Raya, RT.1/RW.10, Pademangan Tim., Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
63,Ancol,PADEMANGAN,Taman Impian Ancol,"Alamat: VRGV+WGR, 10, RW.10, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
64,Ancol,PADEMANGAN,Dunia Fantasi,"Alamat: Jl. Lodan Timur No.7, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
65,Ancol,PADEMANGAN,Pantai Karnaval Ancol,"Alamat: VVM4+CWG, Jl. Pantai Karnaval Ancol, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
66,Ancol,PADEMANGAN,Faunaland Ancol,"Alamat: Ecovention Building - Ecopark, Jl. Lodan Raya, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
67,Ancol,PADEMANGAN,Ocean Dream Samudra - Ancol,"Alamat: VRGR+6X7, Jl. Lodan timur No.7 RW.10, RW.10, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
68,Ancol,PADEMANGAN,Taman Impian Jaya Ancol,"Alamat: VVM5+359, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
69,Ancol,PADEMANGAN,Allianz Eco Park,"Alamat: Jl. Lodan Timur No.7, RW.10, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
70,Ancol,PADEMANGAN,Jakarta Bird Land,"Alamat: Jl. Lodan timur No.7, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
71,Ancol,PADEMANGAN,Atlantis Water Adventures Ancol,"Alamat: Taman Lumba-lumba No.7, RW.10, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
72,Ancol,PADEMANGAN,Ancol Beach,"Alamat: VVJ2+63Q, Pantai, Ancol, Daerah Khusus Ibukota Jakarta "
73,Ancol,PADEMANGAN,Alive Museum Ancol,"Alamat: Ancol Beach City Mall, 3rd Floor Jalan Ancol Beach City Pademangan, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
74,Ancol,PADEMANGAN,Baling Baling,"Alamat: Jl. Lodan Timur No.4, RW.10, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
75,Ancol,PADEMANGAN,Ancol Learning Farm (Betani),"Alamat: RW.10, Ancol, Pademangan, RW.10, Ancol, Jakarta Utara, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
76,Ancol,PADEMANGAN,Discovery Pulau Seribu,"Alamat: jl. Lodan Timur 7 Gedung Gondola Stasiun A Pantai Festival Utara, RW.10, Ancol, DKI Jakarta, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
77,Ancol,PADEMANGAN,Ecopark Club House,"Alamat: VRGM+JV2, RW.10, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
78,Ancol,PADEMANGAN,Dancing Fountain Ancol,"Alamat: VRHV+6R, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta "
79,Ancol,PADEMANGAN,Wisata ancol,"Alamat: VVJ2+7HJ, Jl. Kw. Wisata Ancol, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
80,Ancol,PADEMANGAN,Ontang Anting,"Alamat: Hall Rama Shinta, RW No.10, RW.10, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
81,Ancol,PADEMANGAN,Symphony of the Sea,"Alamat: VRHV+CM8, RW.10, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
82,Ancol,PADEMANGAN,Perahu Wisata Ancol (Ancol Short Cruising),"Alamat: VVJ2+GHP, Ancol, Jkt Utara, Daerah Khusus Ibukota Jakarta "
83,Ancol,PADEMANGAN,Jembatan Carnaval Ancol,"Alamat: VVM3+4W7, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
84,Klp. Gading Tim.,KELAPA GADING,Taman Joging 1 Kelapa Gading,"Alamat: Jalan Raya Boulevard Blok. GT 3, Kelapa Gading, RW.16, Klp. Gading Tim., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240 "
85,Pegangsaan Dua,KELAPA GADING,The aviary,"Alamat: RWJG+54R, Jl. Sedayu City Klp. Gading, Pegangsaan Dua, Kec. Cakung, Jkt Utara, Daerah Khusus Ibukota Jakarta "
86,Klp. Gading Bar.,KELAPA GADING,Bounce Street Asia - Trampoline Park | Tempat Hiburan & Rekreasi Keluarga Terbaik di Jakarta Utara & Kelapa Gading,"Alamat: sentra bisnis, Jalan, Jl. Artha Gading Sel. No.Kav 8, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240 "
87,Klp. Gading Bar.,KELAPA GADING,Museum Benda Benda Alkitab Yerushalayim,"Alamat: JL. Raya Jl. Sengon No.54, RT.1/RW.022, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 12420 "
88,Klp. Gading Bar.,KELAPA GADING,Jembatan kali betik,"Alamat: Jl. Gading Sengon Raya, RW.5, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240 "
89,Cengkareng Bar.,CENGKARENG,Taman Bermain Anak-anak,"Alamat: Jl. Utama Raya No.47, RT.9/RW.2, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730 "
90,Cengkareng Bar.,CENGKARENG,Mural Heroine dan barongsai,"Alamat: Jl. Kamal Raya No.1, RW.6, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta "
91,Duri Kosambi,CENGKARENG,Jalur Hijau Kosambi Baru,"Alamat: RPJ7+FMQ, RT.1/RW.10, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750 "
92,Duri Kosambi,CENGKARENG,Taman Pulir,"Alamat: RW.8, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta "
93,Duri Kosambi,CENGKARENG,RPTRA Mawar Duri Kosambi,"Alamat: Jl. Taman Kosambi Bar. No.6A, RT.8/RW.9, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750 "
94,Duri Kosambi,CENGKARENG,Pemancingan Bawal Bang Peteng,"Alamat: Jl. HM Rahum No.45, RW.1, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750 "
95,Duri Kosambi,CENGKARENG,Danau CAT RESCUE,"Alamat: RPCG+MQ6, Jl. Puri Mansion Utara Blvd, RT.13/RW.2, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750 "
96,Duri Kosambi,CENGKARENG,TMB Pulir,"Alamat: RT.1/RW.8, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750 "
97,Rw. Buaya,CENGKARENG,RPTRA Rawa Buaya,"Alamat: Jl. Bojong Raya No.66, RT.5/RW.5, Rw. Buaya, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740 "
98,KAPUK,CENGKARENG,RPTRA Taman Pedongkelan,"Alamat: Jl. Pedongkelan Raya No.8 Rt.08/Rw.08 Cengkareng Indah, RT.9/RW.9, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720 "
99,KAPUK,CENGKARENG,Gang petak,"Alamat: VQ67+5R4, Jl. Kapuk Raya, RT.1/RW.3, Kapuk, Kecamatan Cengkareng, Jkt Utara, Daerah Khusus Ibukota Jakarta 11720 "
100,KAPUK,CENGKARENG,Mural Persija raya,"Alamat: Jl. Kapuk Raya Gg. Petak IV No.4, RW.2, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720 "
101,KAPUK,CENGKARENG,Mural sepasang ondel ondel,"Alamat: RT.4/RW.2, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720 "
102,Grogol,GROGOL PETAMBURAN,Taman empang dan Air Mancur Waduk Grogol,"Alamat: Jl. Dr. Semeru 2 No.45, RT.9/RW.9, Grogol, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450 "
103,TOMANG,GROGOL PETAMBURAN,Taman Pohon Tomang,"Alamat: Jl. Tomang Raya No.57-69, RT.2/RW.13, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440 "
104,TOMANG,GROGOL PETAMBURAN,Taman Duri Kepa Tomang Raya,"Alamat: Jl. Tomang Raya No.59, RT.2/RW.13, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440 "
105,TOMANG,GROGOL PETAMBURAN,Taman Mandala,"Alamat: Jl. Mandala Barat No.21, RT.5/RW.4, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440 "
106,TOMANG,GROGOL PETAMBURAN,Pohon Elektro Trisakti,"Alamat: Jl. Kyai Tapa No.101, RT.6/RW.16, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440 "
107,TOMANG,GROGOL PETAMBURAN,Blue House Tomang,"Alamat: Gg. 1 No.1, RT.9/RW.6, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440 "
108,TOMANG,GROGOL PETAMBURAN,Panorama JTB (Head Office),"Alamat: Panorama Building, Jl. Tomang Raya No.63, RT.2/RW.13, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440 "
109,TOMANG,GROGOL PETAMBURAN,Kost Green 15,"Alamat: RT.13/RW.4, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440 "
110,TOMANG,GROGOL PETAMBURAN,Kost Bu Hadi 1,"Alamat: Jl. Tomang Tinggi Raya Gg 17 No.13, RT.4/RW.7, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440 "
111,TOMANG,GROGOL PETAMBURAN,Triptour.id,"Alamat: Jl. Tomang Raya No.63, RW.13, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440 "
0,Kuningan Bar.,MAMPANG PRAPATAN,Museum Satriamandala,"Alamat: Jl. Gatot Subroto No.14, RW.1, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710 "
1,Kuningan Bar.,MAMPANG PRAPATAN,Kampoeng Djoeang Satriamandala,"Alamat: Jl. Gatot Subroto No.14, RT.6/RW.1, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710 "
2,Ps. Minggu,PASAR MINGGU,Taman Sepat Jakarta,"Alamat: Jl. Sepat I No.68, RT.1/RW.6, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520 "
3,Ps. Minggu,PASAR MINGGU,Taman Salam,"Alamat: Jl. Jati Murni No.56, RT.3/RW.2, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540 "
4,Jati Padang,PASAR MINGGU,Taman Salam,"Alamat: Jl. Jati Murni No.56, RT.3/RW.2, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540 "
5,Jati Padang,PASAR MINGGU,RPTRA Seruni,"Alamat: Gang Haji Saibun, RT.8/RW.9, Jati Padang, Pasar Minggu, RT.8/RW.9, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540 "
6,Cilandak Tim.,PASAR MINGGU,Mural photo spot,"Alamat: Jl. Benda Raya No.10A, RT.5/RW.4, Cilandak Tim., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560 "
7,Ragunan,PASAR MINGGU,Taman Margasatwa Ragunan,"Alamat: Jl. Harsono RM No.1, Ragunan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550 "
8,Ragunan,PASAR MINGGU,Pusat Primata Schmutzer Jakarta,"Alamat: MRQC+237, RT.10/RW.7, Ragunan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550 "
9,Ragunan,PASAR MINGGU,Pintu Barat Kebun Binatang Ragunan,"Alamat: Jl. Kav. Polri, Ragunan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta "
10,Ragunan,PASAR MINGGU,Agro Edu Wisata Ragunan,"Alamat: PR39+Q5F, RT.1/RW.5, Ragunan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550 "
11,Ragunan,PASAR MINGGU,Parkiran motor ragunan,"Alamat: Jl. Harsono RM No.10, RW.7, Ragunan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta "
12,Ragunan,PASAR MINGGU,Kandang Macan Tutul,"Alamat: Jl. Harsono RM No.1, RT.2/RW.4, Ragunan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550 "
13,Pejaten Timur,PASAR MINGGU,KPC GEMA BERSUCI,"Alamat: Jl. Kemuning I Blok C No.11, RT.11/RW.6, Pejaten Timur, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510 "
14,Pejaten Timur,PASAR MINGGU,Pemancingan Bang cani,"Alamat: Jl. Rukun Ujung No.14B, RT.5/RW.5, Pejaten Timur, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510 "
15,Pejaten Bar.,PASAR MINGGU,Taman Pejatian,"Alamat: RT.2/RW.5, Pejaten Bar., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510 "
16,Kebagusan,PASAR MINGGU,Taman Dadap Merah,"Alamat: Jalan Kebagusan Dalam 55 9 4, RT.8/RW.4, Kebagusan, Ps. Minggu, Daerah Khusus Ibukota Jakarta 12520 "
17,Kebagusan,PASAR MINGGU,Taman Kebagusan,"Alamat: MRXH+H6W, Jl. Kebagusan I, RT.9/RW.7, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520 "
18,Kebagusan,PASAR MINGGU,Taman Sepat Jakarta,"Alamat: Jl. Sepat I No.68, RT.1/RW.6, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520 "
19,Kebagusan,PASAR MINGGU,Nusa Edu Park by AAI,"Alamat: Jl. Assakinah III No.3, RT.2/RW.2, Kebagusan, Pasar Minggu, South Jakarta City, Jakarta 12520 "
20,Kebagusan,PASAR MINGGU,Taman Assakinah Kebagusan Jakarta Selatan,"Alamat: 11, RT.11/RW.2, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520 "
21,Kby. Lama Utara,KEBAYORAN LAMA,Kampoeng Gallery,"Alamat: Jl. Mesjid Al Huda No.1, RT.5/RW.1, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240 "
22,Kby. Lama Utara,KEBAYORAN LAMA,Tempat Santai Pinggir Kali Gusuran,"Alamat: PQX9+M2P, Jl. Inspeksi, RT.2/RW.10, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12320 "
23,Kby. Lama Utara,KEBAYORAN LAMA,Kepz house,"Alamat: Jl. Delman Utama No.40, RT.13/RW.9, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240 "
24,Kby. Lama Utara,KEBAYORAN LAMA,Shaka Mulia Wisata,"Alamat: Jl. Bintaro Raya No.3, RT.1/RW.10, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240 "
25,Pd. Pinang,KEBAYORAN LAMA,Pondok Indah Water Park,"Alamat: PQJM+WQ2, Pondok Indah Mall, Jl. Metro Pondok Indah, RT.1/RW.16, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310 "
26,Pd. Pinang,KEBAYORAN LAMA,At-Most Fear PIM 3,"Alamat: Jl. Arteri Pd. Indah No.9-B, RT.1/RW.16, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240 "
27,Pd. Pinang,KEBAYORAN LAMA,Marvel Studios Exhibition: A Universe of Heroes,"Alamat: PQPJ+CXG, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310 "
28,Pd. Pinang,KEBAYORAN LAMA,KBR,"Alamat: Jl. Kramat I No.15C, RT.9/RW.1, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310 "
